street_number,latitude,longitude,name_and_business,icon
212,-31.94885227,115.859655,"Arcane Bookshop, Terri-Ann White",icon_2005
253,-31.94776862,115.8599617,Britannia Hostel,icon_2005
459,-31.94292947,115.862966,Dreamland Karaoke & Restaurant,icon_2005
171,-31.94957601,115.8584406,Exotic Body Piercing,icon_2005
181,-31.94954489,115.8586796,Just Spectacles Couture,icon_2005
183,-31.94951054,115.8586061,Kakulas Bros,icon_2005
425,-31.94383742,115.862405,Kongs Oriental Supermarket,icon_2005
240,-31.94836263,115.8600935,Marchesi Menswear,icon_2005
208,-31.94901456,115.8595249,Merizzi Travel Agency,icon_2005
175,-31.94959854,115.8586115,Penang Food (Restaurant),icon_2005
177,-31.94949806,115.8585097,Penang Food (Restaurant),icon_2005
194,-31.94941671,115.859287,Romany Restaurant,icon_2005
261,-31.94753858,115.8598932,Sicari Stationary,icon_2005
333,-31.94574973,115.8612267,The Salvation Army State Headquarters Fortress Corps,icon_2005
460,-31.94308452,115.8632627,Tony Yozzi Sporting Goods,icon_2005
173,-31.9496606,115.8587358,Turnstyle Collectables,icon_2005
221,-31.94854888,115.859505,Universal Bar,icon_2005
214,-31.94889152,115.8597856,Vacant,icon_2005
279,-31.94729293,115.8602797,Villa Italia,icon_2005
