Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
177,Mrs L Luke. Ham & Beef Shop,,,"Mrs M. A Vila, A.N.A cafe","Mrs M. A Vila, A.N.A cafe",,,Mrs M Faulkner. A. N. A Cafe,,,,,Samuel Goode. Clothier,,,,,,,,,,,,,,,,,,,,"Lou's Hamburger Shop, restaraunt",Lous Hamburger Shop restaraunt,,,,,,,,"Clifton Hardware Co., hardware dealers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezia Tailors,,,,,,,,,,,,,,,,,,,,,,Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),,,,,,,
178,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,Davies-Franklin Agency Ltd. Alfred Craig (manager) ,,Davies-Franklin Agency Ltd. Alfred Craig (manager) ,,,,,Davies-Franklin Agency (J Turnbull manager),,,,,,,,,,Macedonian Home,,,,"Macedonia Home: G Stolanoff, Tobacconist",,,,,,,,,,,,,,,,,,Sorrento Restaurant,Sorrento Restaurant,Sorrento Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,?Avala?,,Leandris Cakes  (st# TBC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maestro For Hair (?),1884
179,,,-,,,,,-,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meek Robert, tobacconist",,,,,Tobacconist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow Kiosk,,,,,,,,,,,,,,,,,,,,,,,,Tour Information,Tour Information,Tour Information,Tour Information,,,,Bookend,Bookend,Bookend,
180,,,,,,,,,,,,,,,,,,,,,,,Macedonian Home,,,,"Macedonia Home: G Stolanoff, Tobacconist",,,,,,,,,,,,,,,,,,Sorrento Restaurant,Sorrento Restaurant,Sorrento Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romany Restaurant  (st# TBC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884
181,Max Bercov. Butcher,,Max Bercov. Butcher,"Max Bercov, Butcher","Max Bercov, Butcher",,,Humphreys & Maplestone. Dairy,Horseshoe Dairy,,,,Mrs P J Byrnes. Small Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kun Ming Cafe restaurant,,,,,Kun-Ming Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butcher,,,,,,,,,,,,,,,,,,,,,,,Just Spectacles Couture,Just Spectacles Couture,Just Spectacles Couture,Just Spectacles Couture,The Bird,The Bird,The Bird,The Bird,The Bird,The Bird,The Bird,
,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Forster & Bowmann. Contractors & Decorators,Forster & Bowmann. Contractors & Decorators,"Massey & Red Bird Cycle Agency, Alfred Craig (manager) ","Bernard Maurice, fncy. gds","Edward Baker, Furniture Maker",Johnsons Furnishing Co. Ltd. Picture Framers,,Johnsons Furnishing Co Ltd. Furnishers,,,,,Mrs C Stephens Fruitier and Confectioner,,,,,,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? La Perla Cake Shop??,,Golden Ravioli (st# TBC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898
183,"Akhurst __, Confectioner",,Alla j. Butt. Watchmaker,"Alla J. Butt, Watchmaker","Alla J. Butt, Watchmaker",,,Alla j. Butt. Watchmaker,,,,,A Krakour. Clothier,,,,,Good Samel Clothr,,"Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ",,"Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ","Reid Robt R, chemst & opten ",Vacant,,,,,,,,"Michael & Co. A, radio dealers",,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,
184,George Black. Oyster Saloon,"Florias O, Oyster Saloon","Evazeles Florias, Oyster Saloon","Evazeles Florias, Oyster Saloon","Evazeles Florias, Oyster Saloon","Dennis Florias, Oyster Saloon",,Dennis Florias. Oyster Saloon,,,,,Dennis Florias. Oyster Saloon,,,,,,,,,"Florias D F, cafe","Florias D F, cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perth Hostel,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898
