street_number,latitude,longitude,name_and_business,icon,
292,-31.94704881,115.8607627,292   M:1,bar,
293,-31.9467985,115.8605146,293   M:1,bar,
294,-31.9470375,115.8609412,294   M:1,bar,
295,-31.94670076,115.8605385,295   M:1,bar,
296,-31.94697128,115.8608216,296   M:1,bar,
297,-31.9466576,115.8604138,297   M:1,bar,
298,-31.9469702,115.8610983,298   M:1,bar,
299,-31.9466919,115.8606581,299   M:1,bar,
300,-31.94684642,115.8608848,300   M:1,bar,
301,-31.94659881,115.8604849,301   M:1,bar,
302,-31.94690941,115.8610075,302   M:1,bar,
303,-31.94663777,115.8606968,303   M:1,bar,
304,-31.94677383,115.8609388,304   M:1,bar,
305,-31.94648533,115.8604878,305   M:1,bar,
306,-31.94682344,115.861118,306   M:1,bar,
307,-31.94653843,115.8606502,307   M:1,bar,
308,-31.94672418,115.8610345,308   M:1,bar,
309,-31.94655984,115.8607686,309   M:1,bar,
310,-31.94673274,115.8611876,310   M:1,bar,
311,-31.94642571,115.8605475,311   M:1,bar,
312,-31.94659069,115.8610531,312   M:1,bar,
313,-31.9464694,115.8607617,313   M:1,bar,
314,-31.94656903,115.8611818,314   M:1,bar,
315,-31.94636043,115.8606344,315   M:1,bar,
316,-31.94649585,115.8612172,316   M:1,bar,
317,-31.94637922,115.8608135,317   M:1,bar,
318,-31.94642282,115.8611516,318   M:1,bar,
319,-31.94620335,115.8606847,319   M:1,bar,
320,-31.94656194,115.8613236,320   M:1,bar,
321,-31.94610856,115.8609936,321   M:1,bar,
322,-31.94624854,115.8613088,322   M:1,bar,
323,-31.94596259,115.8606805,323   M:1,bar,
324,-31.9462814,115.8615707,324   M:1,bar,
325,-31.94591948,115.8608053,325   M:1,bar,
326,-31.94624834,115.8614269,326   M:1,bar,
327,-31.94595594,115.8610793,327   M:1,bar,
328,-31.94612701,115.8613199,328   M:1,bar,
329,-31.94586281,115.861131,329   M:1,bar,
330,-31.94615177,115.8615844,330   M:1,bar,
331,-31.94576793,115.8608447,331   M:1,bar,
332,-31.94603061,115.861393,332   M:1,bar,
333,-31.94574973,115.8612267,333   M:1,bar,
334,-31.9460755,115.8615023,334   M:1,bar,
335,-31.94568661,115.8610444,335   M:1,bar,
336,-31.94606186,115.8617574,336   M:1,bar,
337,-31.94553089,115.8609585,337   M:1,bar,
338,-31.94589333,115.8615139,338   M:1,bar,
339,-31.94563271,115.8612673,339   M:1,bar,
340,-31.94597423,115.8615846,340   M:1,bar,
341,-31.94543969,115.8610593,341   M:1,bar,
342,-31.94589898,115.8616821,342   M:1,bar,
343,-31.9454814,115.8613856,343   M:1,bar,
344,-31.94577926,115.8615625,344   M:1,bar,
345,-31.94540057,115.8612095,345   M:1,bar,
346,-31.94573147,115.8617851,346   M:1,bar,
347,-31.9452683,115.860873,347   M:1,bar,
348,-31.94573712,115.8619569,348   M:1,bar,
349,-31.9454081,115.8614701,349   M:1,bar,
350,-31.94557958,115.8616937,350   M:1,bar,
351,-31.94533518,115.8613028,351   M:1,bar,
352,-31.94566805,115.8619533,352   M:1,bar,
353,-31.94523498,115.8610853,353   M:1,bar,
354,-31.94555065,115.8618762,354   M:1,bar,
355,-31.9451039,115.8609121,355   M:1,bar,
356,-31.94562702,115.8620512,356   M:1,bar,
357,-31.9453202,115.8615294,357   M:1,bar,
358,-31.94544427,115.8617538,358   M:1,bar,
359,-31.94526088,115.8614337,359   M:1,bar,
360,-31.94555877,115.8620635,360   M:1,bar,
361,-31.94521488,115.861289,361   M:1,bar,
362,-31.94541215,115.8618388,362   M:1,bar,
363,-31.94512522,115.8612026,363   M:1,bar,
364,-31.94546706,115.8620788,364   M:1,bar,
365,-31.94504285,115.8610342,365   M:1,bar,
366,-31.94532404,115.8618716,366   M:1,bar,
367,-31.9449641,115.8614045,367   M:1,bar,
