street_number,latitude,longitude,name_and_business,icon
180,-31.94976099,115.8593214,? La Perla Cake Shop??,icon_1982
178,-31.94968645,115.8591091,?Avala?,icon_1982
220,-31.94866627,115.8597278,?Tailor,icon_1982
222,-31.94859521,115.8598107,?Travel Service,icon_1982
175,-31.94959854,115.8586115,Anna's Coffee Lounge,icon_1982
172,-31.9498081,115.8590498,Army Surplus Stores,icon_1982
206,-31.94912718,115.8596319,Bank of NSW (Westpak),icon_1982
171,-31.94957601,115.8584406,Belle Merzel Florist,icon_1982
253,-31.94776862,115.8599617,Britannia Hostel,icon_1982
181,-31.94954489,115.8586796,Butcher,icon_1982
241,-31.94805008,115.8594873,Danny's Shoe Store,icon_1982
167,-31.94972357,115.8587251,Echo Company Imported Goods,icon_1982
204,-31.94910508,115.8594716,Franco's Caffe Bar (Perth Hostel Upstairs),icon_1982
229,-31.94844319,115.8595764,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",icon_1982
231,-31.94829655,115.859481,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",icon_1982
224,-31.94865631,115.8599597,Gino's Photographic Studio,icon_1982
192,-31.94954917,115.8593296,Golden Ravioli,icon_1982
182,-31.94961182,115.8591643,Golden Ravioli (st# TBC),icon_1982
168,-31.95000265,115.8591271,Governor Broome Hotel,icon_1982
170,-31.94991712,115.8590536,Governor Broome Hotel,icon_1982
174,-31.94991909,115.8592779,Governor Broome Hotel,icon_1982
209,-31.94879218,115.8590149,Great Western Hotel,icon_1982
183,-31.94951054,115.8586061,Kakulas Bros,icon_1982
185,-31.9494492,115.8585526,Kakulas Bros,icon_1982
205,-31.94880761,115.8591788,La Spina & Kotula Estate Agents,icon_1982
199,-31.94920913,115.859017,Medd's Pharmacy,icon_1982
208,-31.94901456,115.8595249,Merizzi Travel Agency,icon_1982
210,-31.94894959,115.8596304,Merizzi Travel Agency,icon_1982
214,-31.94889152,115.8597856,National Bank of Australia,icon_1982
189,-31.94923865,115.8586692,Newsagency (Karate upstairs),icon_1982
201,-31.94911609,115.8590955,Northbridge Bargain Store,icon_1982
202,-31.94926489,115.8596251,Precision Photographic,icon_1982
179,-31.94959135,115.8587798,Rainbow Kiosk,icon_1982
188,-31.94951261,115.8592134,Romany Restaurant,icon_1982
218,-31.94878507,115.8597836,S. Forte & Co,icon_1982
195,-31.94920109,115.8588771,Stefan Spanish Casa Restaurant,icon_1982
187,-31.94944527,115.8587148,The Old Saigon,icon_1982
169,-31.94964678,115.8585799,Vastese Catering,icon_1982
177,-31.94949806,115.8585097,Venezia Tailors,icon_1982
212,-31.94885227,115.859655,Venezia Tailors,icon_1982
