street_number,latitude,longitude,name_and_business,icon
180,-31.949760990000000,115.859321400000000,? La Perla Cake Shop??,icon_2005
178,-31.949686450000000,115.859109100000000,?Avala?,icon_2005
189 - Shop 7,-31.949327180000000,115.858982800000000,?Regalia Craft - down arcade? P.O Kay Public Accountant (upstairs)? ,icon_2005
220,-31.948666270000000,115.859727800000000,?Tailor,icon_2005
222,-31.948595210000000,115.859810700000000,?Travel Service,icon_2005
175,-31.949598540000000,115.858611499999000,Anna's Coffee Lounge,icon_2005
172,-31.949808099999900,115.859049799999000,Army Surplus Stores,icon_2005
206,-31.949127180000000,115.859631900000000,Bank of NSW (Westpak),icon_2005
171,-31.949576010000000,115.858440599999000,Belle Merzel Florist,icon_2005
189 - Shop 3,-31.949512060000000,115.858756700000000,Boxhorn & Wilson Watchmakers,icon_2005
253,-31.947768620000000,115.859961700000000,Britannia Hostel,icon_2005
181,-31.949544889999900,115.858679600000000,Butcher,icon_2005
241,-31.948050080000000,115.859487300000000,Danny's Shoe Store,icon_2005
167,-31.949723570000000,115.858725100000000,Echo Company Imported Goods,icon_2005
204,-31.949105079999900,115.859471600000000,Franco's Caffe Bar (Perth Hostel Upstairs),icon_2005
229,-31.948443189999900,115.859576399999000,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",icon_2005
231,-31.948296549999900,115.859481000000000,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",icon_2005
224,-31.948656310000000,115.859959700000000,Gino's Photographic Studio,icon_2005
192,-31.949549170000000,115.859329600000000,Golden Ravioli,icon_2005
182,-31.949611820000000,115.859164300000000,Golden Ravioli (st# TBC),icon_2005
168,-31.950002649999900,115.859127099999000,Governor Broome Hotel,icon_2005
170,-31.949917119999900,115.859053600000000,Governor Broome Hotel,icon_2005
174,-31.949919090000000,115.859277900000000,Governor Broome Hotel,icon_2005
209,-31.948792180000000,115.859014900000000,Great Western Hotel,icon_2005
183,-31.949510539999900,115.858606100000000,Kakulas Bros,icon_2005
185,-31.949449200000000,115.858552600000000,Kakulas Bros,icon_2005
189 -1st Floor,-31.949372310000000,115.858667800000000,Karate,icon_2005
205,-31.948807609999900,115.859178800000000,La Spina & Kotula Estate Agents,icon_2005
189_3,-31.949286310000000,115.858888600000000,"Lebanese & ?, Sylvania Pastry",icon_2005
199,-31.949209130000000,115.859016999999000,Medd's Pharmacy,icon_2005
208,-31.949014559999900,115.859524900000000,Merizzi Travel Agency,icon_2005
210,-31.948949590000000,115.859630400000000,Merizzi Travel Agency,icon_2005
210a,-31.948692309999900,115.859135900000000,Merizzi Travel Agency,icon_2005
214,-31.948891520000000,115.859785600000000,National Bank of Australia,icon_2005
189,-31.949238650000000,115.858669199999000,Newsagency (Karate upstairs),icon_2005
201,-31.949116090000000,115.859095500000000,Northbridge Bargain Store,icon_2005
202,-31.949264889999900,115.859625100000000,Precision Photographic,icon_2005
179,-31.949591349999900,115.858779799999000,Rainbow Kiosk,icon_2005
188,-31.949512609999900,115.859213400000000,Romany Restaurant,icon_2005
218,-31.948785070000000,115.859783600000000,S. Forte & Co,icon_2005
195,-31.949201089999900,115.858877100000000,Stefan Spanish Casa Restaurant,icon_2005
189_2,-31.949323809999900,115.858789800000000,Stefan Spanish Casa Restaurant,icon_2005
187,-31.949445269999900,115.858714800000000,The Old Saigon,icon_2005
169,-31.949646779999900,115.858579900000000,Vastese Catering,icon_2005
177,-31.949498060000000,115.858509700000000,Venezia Tailors,icon_2005
212,-31.948852270000000,115.859655000000000,Venezia Tailors,icon_2005
