street_number,latitude,longitude,name_and_business,icon
212,-31.948852270000000,115.859655000000000,"Arcane Bookshop, Terri-Ann White",icon_2005
253,-31.947768620000000,115.859961700000000,Britannia Hostel,icon_2005
459,-31.942929469999900,115.862966000000000,Dreamland Karaoke & Restaurant,icon_2005
171,-31.949576010000000,115.858440599999000,Exotic Body Piercing,icon_2005
181,-31.949544889999900,115.858679600000000,Just Spectacles Couture,icon_2005
183,-31.949510539999900,115.858606100000000,Kakulas Bros,icon_2005
276 - GROUND,-31.947521909999900,115.860677499999000,"Keith + Lottie, Keith + Lottie Gallery",icon_2005
425,-31.943837420000000,115.862405000000000,Kongs Oriental Supermarket,icon_2005
240,-31.948362629999900,115.860093500000000,Marchesi Menswear,icon_2005
208,-31.949014559999900,115.859524900000000,Merizzi Travel Agency,icon_2005
175,-31.949598540000000,115.858611499999000,Penang Food (Restaurant),icon_2005
177,-31.949498060000000,115.858509700000000,Penang Food (Restaurant),icon_2005
194,-31.949416710000000,115.859286999999000,Romany Restaurant,icon_2005
261,-31.947538580000000,115.859893200000000,Sicari Stationary,icon_2005
276 - First Floor,-31.947353490000000,115.860155900000000,Studio Robot,icon_2005
333,-31.945749729999900,115.861226700000000,The Salvation Army State Headquarters Fortress Corps,icon_2005
460,-31.943084519999900,115.863262700000000,Tony Yozzi Sporting Goods,icon_2005
173,-31.949660600000000,115.858735800000000,Turnstyle Collectables,icon_2005
221,-31.948548880000000,115.859505000000000,Universal Bar,icon_2005
279,-31.947292930000000,115.860279700000000,Villa Italia,icon_2005
